City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kodiak,US,2021-12-13 03:30:39,57.79,-152.4072,11.71,57,40,19.57
1,Sitka,US,2021-12-13 03:30:39,57.0531,-135.33,35.49,55,75,5.75
2,Rikitea,PF,2021-12-13 03:30:40,-23.1203,-134.9692,77.27,79,86,8.95
3,Hasaki,JP,2021-12-13 03:30:40,35.7333,140.8333,55.29,31,54,16.33
4,Lasa,IT,2021-12-13 03:30:40,46.6166,10.7002,40.08,95,63,7.65
5,Tuatapere,NZ,2021-12-13 03:30:41,-46.1333,167.6833,61.83,57,67,7.18
6,Yaan,NG,2021-12-13 03:30:41,7.3833,8.5667,72.7,25,23,4.83
7,Aranos,NA,2021-12-13 03:30:41,-24.1333,19.1167,70.74,29,0,8.55
8,Kapaa,US,2021-12-13 03:30:42,22.0752,-159.319,80.58,75,40,5.01
9,Ishigaki,JP,2021-12-13 03:30:42,24.3448,124.1572,68.13,77,75,24.16
10,New Norfolk,AU,2021-12-13 03:30:42,-42.7826,147.0587,80.65,21,3,3.6
11,Tabas,IR,2021-12-13 03:30:43,33.5959,56.9244,47.86,36,0,3.51
12,Hilo,US,2021-12-13 03:30:43,19.7297,-155.09,73.8,4,71,7.76
13,Tiksi,RU,2021-12-13 03:30:43,71.6872,128.8694,-19.16,100,100,1.32
14,Quimperle,FR,2021-12-13 03:30:44,47.8667,-3.55,52.52,100,75,9.22
15,Bredasdorp,ZA,2021-12-13 03:30:44,-34.5322,20.0403,61.92,88,99,3.44
16,Horta,PT,2021-12-13 03:30:44,38.5333,-28.6333,57.47,56,100,12.17
17,Ushuaia,AR,2021-12-13 03:28:50,-54.8,-68.3,40.66,65,75,23.02
18,Shelburne,CA,2021-12-13 03:30:45,44.0787,-80.2041,38.12,73,59,21.7
19,Comodoro Rivadavia,AR,2021-12-13 03:30:01,-45.8667,-67.5,55.26,82,100,9.22
20,Tuktoyaktuk,CA,2021-12-13 03:30:45,69.4541,-133.0374,-7.6,77,75,18.41
