City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Baillif,GP,2021-12-12 09:45:55,16.0202,-61.7463,74.64,76,59,9.06
1,Coquimbo,CL,2021-12-12 09:43:16,-29.9533,-71.3436,56.93,82,0,3.44
2,Angoche,MZ,2021-12-12 09:45:55,-16.2325,39.9086,88.9,59,51,16.75
3,Lodja,CD,2021-12-12 09:45:56,-3.4833,23.4333,72.16,95,100,3.69
4,Ushuaia,AR,2021-12-12 09:45:56,-54.8,-68.3,47.86,87,75,10.36
5,Rikitea,PF,2021-12-12 09:45:56,-23.1203,-134.9692,75.69,80,57,10.31
6,Mitsamiouli,KM,2021-12-12 09:45:56,-11.3847,43.2844,91.69,46,20,18.41
7,Saint George,US,2021-12-12 09:45:57,37.1041,-113.5841,40.35,57,1,5.75
8,Peterhead,GB,2021-12-12 09:45:57,57.5058,-1.7981,45.0,80,98,11.03
9,Lompoc,US,2021-12-12 09:45:57,34.6391,-120.4579,51.93,83,1,5.75
10,Talnakh,RU,2021-12-12 09:45:58,69.4865,88.3972,-21.8,85,100,1.14
11,Capoeiras,BR,2021-12-12 09:45:58,-8.7347,-36.6267,69.69,71,70,11.59
12,Tiksi,RU,2021-12-12 09:45:58,71.6872,128.8694,-21.37,100,95,2.93
13,Bluff,NZ,2021-12-12 09:45:59,-46.6,168.3333,49.8,73,25,14.43
14,Prince Rupert,CA,2021-12-12 09:45:59,54.3161,-130.3201,35.29,73,20,11.5
15,Luang Prabang,LA,2021-12-12 09:45:59,19.8856,102.1347,82.36,39,40,6.91
16,Busselton,AU,2021-12-12 09:45:59,-33.65,115.3333,70.09,47,1,20.89
17,Venice,US,2021-12-12 09:43:36,27.0998,-82.4543,70.99,100,90,3.44
18,Atuona,PF,2021-12-12 09:46:00,-9.8,-139.0333,78.55,78,43,17.09
19,Lagoa,PT,2021-12-12 09:46:00,39.05,-27.9833,60.28,72,100,26.53
20,Bengkulu,ID,2021-12-12 09:46:00,-3.8004,102.2655,82.26,76,72,6.64
21,Lakselv,NO,2021-12-12 09:46:01,70.0513,24.9718,24.75,86,90,20.71
22,Otane,NZ,2021-12-12 09:46:01,-39.8833,176.6333,55.0,95,100,1.05
23,Butaritari,KI,2021-12-12 09:46:01,3.0707,172.7902,82.42,77,98,16.33
24,Codrington,AU,2021-12-12 09:46:02,-38.2667,141.9667,60.17,70,1,6.76
25,Komsomolskiy,UZ,2021-12-12 09:46:02,40.4272,71.7189,49.42,34,0,2.3
26,Deputatskiy,RU,2021-12-12 09:46:02,69.3,139.9,-33.52,100,96,1.3
27,Punta Arenas,CL,2021-12-12 09:44:04,-53.15,-70.9167,50.11,81,75,6.91
28,Mataura,NZ,2021-12-12 09:46:03,-46.1927,168.8643,49.48,88,61,2.8
29,Thompson,CA,2021-12-12 09:46:03,55.7435,-97.8558,-2.04,78,90,2.3
30,Cayenne,GF,2021-12-12 09:46:03,4.9333,-52.3333,76.08,92,75,1.14
31,Kapaa,US,2021-12-12 09:43:19,22.0752,-159.319,73.72,85,90,4.0
32,Mar Del Plata,AR,2021-12-12 09:42:25,-38.0023,-57.5575,64.42,97,90,8.99
33,Pangnirtung,CA,2021-12-12 09:46:04,66.1451,-65.7125,-8.57,78,1,5.37
34,Ponta Do Sol,PT,2021-12-12 09:46:04,32.6667,-17.1,68.72,69,43,1.81
35,Kavieng,PG,2021-12-12 09:46:04,-2.5744,150.7967,83.32,80,100,6.22
36,Sturgeon Bay,US,2021-12-12 09:46:05,44.8342,-87.377,27.0,74,1,11.5
37,Narsaq,GL,2021-12-12 09:46:05,60.9167,-46.05,21.42,83,77,4.81
38,Pisco,PE,2021-12-12 09:46:06,-13.7,-76.2167,64.45,88,90,2.3
39,Tezpur,IN,2021-12-12 09:46:07,26.6333,92.8,74.64,54,0,2.15
40,Pangody,RU,2021-12-12 09:46:07,65.85,74.4859,-22.22,100,41,2.98
41,Tuktoyaktuk,CA,2021-12-12 09:46:07,69.4541,-133.0374,-3.93,95,100,13.44
42,Richards Bay,ZA,2021-12-12 09:46:07,-28.783,32.0377,82.69,70,83,10.65
43,Cape Town,ZA,2021-12-12 09:46:08,-33.9258,18.4232,72.88,65,20,3.0
44,Walvis Bay,NA,2021-12-12 09:46:08,-22.9575,14.5053,68.95,64,0,8.05
45,Tasiilaq,GL,2021-12-12 09:46:08,65.6145,-37.6368,37.56,64,100,30.04
46,Clyde River,CA,2021-12-12 09:46:09,70.4692,-68.5914,-1.97,78,31,8.05
47,Tongren,CN,2021-12-12 09:47:09,27.7172,109.1853,50.45,83,100,2.37
48,College,US,2021-12-12 09:47:09,64.8569,-147.8028,-9.42,76,90,3.44
49,Sola,VU,2021-12-12 09:47:10,-13.8833,167.55,81.27,89,90,6.91
50,Albany,US,2021-12-12 09:47:10,42.6001,-73.9662,40.26,64,94,1.99
51,Quatre Cocos,MU,2021-12-12 09:47:10,-20.2078,57.7625,84.31,63,45,13.69
52,Faya,SA,2021-12-12 09:47:11,18.3851,42.4509,66.72,14,19,1.41
53,Barrow,US,2021-12-12 09:47:11,71.2906,-156.7887,-3.98,77,90,10.36
54,Santa Elena,EC,2021-12-12 09:47:12,-2.2333,-80.85,70.41,84,100,7.18
55,Castro,BR,2021-12-12 09:47:12,-24.7911,-50.0119,69.19,62,100,1.19
56,Awash,ET,2021-12-12 09:47:12,8.9833,40.1667,81.79,35,24,8.93
57,Suez,EG,2021-12-12 09:47:13,29.9737,32.5263,74.3,29,100,2.71
58,Port Alfred,ZA,2021-12-12 09:47:13,-33.5906,26.891,72.81,81,99,11.41
59,Lavrentiya,RU,2021-12-12 09:47:13,65.5833,-171.0,-12.78,84,4,6.89
60,Vaini,TO,2021-12-12 09:47:14,-21.2,-175.2,78.96,89,40,6.91
61,Asau,RO,2021-12-12 09:47:14,46.4333,26.4,42.96,85,100,3.15
62,Mount Gambier,AU,2021-12-12 09:44:45,-37.8333,140.7667,78.71,29,25,8.05
63,Dikson,RU,2021-12-12 09:47:14,73.5069,80.5464,-21.5,96,53,6.73
64,Cooma,AU,2021-12-12 09:47:15,-36.2333,149.1333,56.97,76,90,10.36
65,Talara,PE,2021-12-12 09:47:15,-4.5772,-81.2719,67.95,84,98,12.01
66,San Patricio,US,2021-12-12 09:47:15,28.017,-97.5169,53.46,44,100,7.27
67,Berlevag,NO,2021-12-12 09:47:15,70.8578,29.0864,28.44,94,100,12.91
68,Colares,PT,2021-12-12 09:47:16,38.7992,-9.4469,59.32,78,0,1.01
